respondent_id,approve_president
3886,Approve
1133,Disapprove
3167,Approve
2445,Disapprove
2415,Disapprove
3921,Approve
810,Disapprove
1828,Disapprove
570,Disapprove
153,Disapprove
448,Disapprove
411,Approve
3768,Approve
1706,Disapprove
1058,Approve
3819,Disapprove
2201,Approve
3459,Approve
383,Disapprove
211,Approve
221,Disapprove
3850,Approve
394,Disapprove
1102,Approve
1781,Disapprove
4027,Disapprove
3001,Disapprove
3265,Disapprove
3715,Disapprove
2251,Disapprove
1141,Approve
1918,Disapprove
285,Approve
2074,Approve
2689,Disapprove
1273,Approve
506,Disapprove
3463,Approve
2903,Approve
2801,Approve
719,Disapprove
1192,Disapprove
2743,Approve
54,Disapprove
2820,Disapprove
2507,Approve
165,Disapprove
3254,Approve
3530,Disapprove
3647,Approve
2842,Approve
3917,Disapprove
185,Disapprove
3771,Approve
733,Disapprove
2496,Approve
3515,Approve
359,Disapprove
125,Approve
2234,Disapprove
986,Disapprove
254,Disapprove
2998,Approve
1537,Disapprove
1555,Disapprove
1763,Approve
3703,Approve
2627,Disapprove
